session,n,n_edges_r,n_edges_s,layout_time,r_mantel_p,r_mantel_s,r_procr,r_knn_err,s_mantel_p,s_mantel_s,s_procr,s_knn_err,baseline_err
NOF_H01_1D,2358,147738,267428,18.300105810165405,0.3073536395150442,0.3113502466738836,0.7924328778744589,11.814613642052093,-0.00028035109417898663,-0.00023271400830063903,0.9958914143985751,17.64627381773803,17.52724309833261
NOF_H01_2D,2360,151516,275883,15.392525672912598,0.06168303656431852,0.05187027671095323,0.9628618844788773,14.949207123182678,0.053119312033254866,0.050922127403720006,0.9624705380258018,16.515771157526547,17.51306751867689
NOF_H01_3D,2360,189712,317019,15.14554214477539,0.41406813076528975,0.404629476171904,0.5575339992058307,11.365675872985372,0.003252650570721149,0.0007560637222696486,0.9838401819402133,18.58295204419118,17.863515537790008
NOF_H01_4D,2362,262898,514155,18.75167965888977,0.3395365935108251,0.3336011997033437,0.6984002530534901,13.418673883772469,0.019170630540904714,0.018049914875840536,0.9915856550997811,19.299214656944972,18.7503340036581
NOF_H02_1D,2358,166151,224598,15.394387483596802,0.45503912831144916,0.4595118144172318,0.49109828270921285,10.791546128138483,-0.0017759521979581875,-0.002315880965739699,0.9973232887126721,18.06032761453021,17.882905874975002
NOF_H02_2D,2358,192861,239947,12.300842761993408,0.5846746891246535,0.5856096418405529,0.35861034302207073,6.755187756372775,0.013326349639901754,0.011228956546125409,0.9885318572565163,18.14757487260746,18.102476030707017
NOF_H02_3D,2358,182161,199076,12.097308158874512,0.5610322937647506,0.5623219846823958,0.41563630435353033,9.360560676540976,0.006905608310773214,0.006601728977431089,0.9967686897857844,19.135994167147388,18.468024396560416
NOF_H02_4D,2358,139030,146701,11.389521598815918,0.5575808739135448,0.5624777936913292,0.3474864078747062,7.783038174930898,0.01649769162964843,0.016367446377908317,0.9876043526125052,18.844245475293267,18.547837019835082
NOF_H03_1D,2350,231512,511703,14.336967468261719,0.236941616860339,0.23297734269930434,0.7361495354788699,12.526228368471813,-0.004242909339163441,-0.004210039876548925,0.9897674547846156,16.697906534954797,16.097531107882457
NOF_H03_2D,2354,216599,438394,13.429358005523682,0.44881686580045804,0.4483782328594427,0.4975091954119386,10.827874123031178,0.028100199513293966,0.028608157768549188,0.9758633258290135,18.304902501174194,18.36287620107032
NOF_H03_3D,3548,297649,565547,21.350557565689087,0.541763554315113,0.5398430155570177,0.46623946698282126,8.752259045896364,0.028857768887626572,0.030690701519861287,0.9884948545296588,17.63288915037255,18.299238170865408
NOF_H03_4D,3546,553717,1075029,26.1669602394104,0.33752905160354324,0.33348246267894294,0.5988122130831254,8.305840132182835,0.27887216539510656,0.27979881480497926,0.7198774144505022,11.82804041920465,18.455611503284896
NOF_H06_1D,3548,461186,749221,24.24115538597107,0.10731287272047542,0.13403598203749548,0.928494783267774,8.994915975035624,0.15823471527403446,0.17338600514533614,0.9796439917733406,9.617234337863996,11.993061093098435
NOF_H06_2D,3550,560044,953285,26.329580783843994,0.47856069237656856,0.4757929091085143,0.4533426302281461,7.263094068310113,0.3457017331894092,0.3513766918232963,0.7140733756184691,8.99637776912689,20.566460216390823
NOF_H06_3D,3540,330565,480691,22.20759391784668,0.3713094149011082,0.3753025910385076,0.7542796847033464,3.344785426639509,0.45762558448219925,0.46375589500071446,0.6468758961853247,4.235550681548179,14.89611499262113
NOF_H06_4D,3544,639490,1382110,29.406644821166992,0.13029321653018122,0.3304118997918571,0.9841941509139682,0.6376197276002695,-0.012379390418116065,0.18632091696609326,0.9918143745904705,0.94523052627969,0.9116790737500191
NOF_H07_1D,3553,395154,844720,24.767336130142212,0.3156113932670408,0.3101162056175958,0.6288137617466247,12.609076749828374,0.0036928117690828437,0.003033382145900476,0.9974233200517649,18.12151226029274,17.683623451344292
NOF_H07_2D,3550,372378,894572,27.398787260055542,0.22526830453235053,0.21355387472805232,0.7616491612322844,14.06998356907707,0.015244159442950255,0.014775262349279977,0.9778913945508138,20.092909783586688,19.690235840031196
NOF_H07_3D,3548,446703,982617,25.688722133636475,0.2607114049762867,0.26620677519629227,0.766547489170742,12.722895536878152,0.1892516497560531,0.19147015491713296,0.8984768586816716,16.3759927755047,21.83466176447489
NOF_H07_4D,3534,354695,793577,23.231652975082397,0.2898735552741112,0.3225924607898062,0.8055330978211697,11.509705037486023,0.1370231060765396,0.1427421941793589,0.8942229751645809,19.980734350199434,23.32063287654867
NOF_H08_1D,3552,494104,872023,24.705153703689575,0.0689543585466769,0.0663592060037199,0.9286099246912116,15.880449623970598,-0.004683329237311638,-0.005048216682938593,0.9976006364024482,17.770402360792456,17.28547217135683
NOF_H08_2D,3548,473110,785900,23.79402232170105,0.1427395079067038,0.14742683282995592,0.8699599173590356,11.291803731496808,0.075504602751526,0.07426104353019565,0.9841875725111354,13.784780831028955,14.08111912604507
NOF_H08_3D,3546,554137,952378,25.714050769805908,0.3851476234135071,0.38616450696175786,0.5608733357911881,11.264517252817255,-0.0036434736435335116,-0.0033237538188343025,0.9976727823540149,19.4449277376689,19.300909396027908
NOF_H08_4D,3546,478557,765487,23.38083267211914,0.32687904676942814,0.32180167013443356,0.6194370818237073,10.16888837313475,0.08433864577977582,0.09032929488148529,0.9589969826909632,16.565241030802603,18.826626550822493
NOF_H09_1D,3555,330301,548843,21.61231303215027,0.2305946439007845,0.22706277620379547,0.8398131259932978,11.581984985581332,-0.003969462263348741,-0.003363542854226583,0.9974424540918873,15.838984691317037,15.48930369765363
NOF_H09_2D,3554,474767,634325,22.543821811676025,0.4089791096688929,0.4167569816351937,0.6295106191977697,8.727139086144444,0.02976132091815801,0.026837186069405702,0.9719589859361085,17.76306959917286,18.433924476739133
NOF_H09_3D,3556,377586,505946,21.93767023086548,0.5155398084030209,0.5169827139721113,0.43695058822209476,9.63116267333188,0.008826099012227041,0.007428866185969333,0.9960909093806514,18.59195529282718,18.45619356465209
NOF_H09_4D,3554,374961,436806,21.063754320144653,0.40629604108727896,0.4349872053122319,0.4895985662591976,8.545960553872124,0.05200902293171933,0.04981013571150817,0.9605015647277543,19.00617859394773,19.892895337550886
NOF_H14_1D,3552,358784,646992,22.730769872665405,0.19407225847494938,0.1933195413110209,0.7843001587021088,13.089478410042222,0.024942026157264707,0.022921247588475833,0.9900355259116096,16.620220658102767,16.464640127118347
NOF_H14_2D,3546,515205,920870,24.771047353744507,0.3689360167665191,0.3634739177637202,0.691115974999987,8.470163862195237,0.09473516998932527,0.09585882704720308,0.997727176008424,14.55822793496796,15.468293985640488
NOF_H14_3D,3546,345244,474332,20.975749254226685,0.1716433888161341,0.23033330687658396,0.7362257800985824,6.193829127635503,0.22565314063867906,0.28504828466385557,0.8466864818925938,7.276023620788149,13.965446465038514
NOF_H14_4D,3548,490506,794534,24.398988723754883,0.17938202944810058,0.1897082793683303,0.8286374618352963,13.09240031419856,0.10642319168939426,0.11278950518284128,0.9154262292287381,16.042007539504997,20.66627231700726
NOF_H23_1D,2358,153801,168516,11.623214483261108,0.47041736319528804,0.46176705975948196,0.491990087807612,10.568762139749733,0.007973760912661856,0.006655792425998528,0.9977995397736896,17.598740446477734,17.071761661220453
NOF_H23_2D,2358,166641,243644,12.102668523788452,0.5632302888250754,0.5523358488688107,0.39583776032391343,7.275066829307601,0.018136405808375774,0.018647839274611024,0.9840376497555718,18.220771300836233,17.76664501526953
NOF_H23_3D,2358,158827,194072,12.279418706893921,0.38771635534497445,0.3779631746319313,0.5221137574295763,6.0674563912266235,0.10881319087439344,0.1236306856288262,0.9075819341742176,12.423111280040777,14.446566793985053
NOF_H23_4D,2356,158382,159694,11.517285346984863,0.4093840145536036,0.3973080573333902,0.5455111783967053,7.399838812154284,0.1261211841703929,0.12263266170436528,0.9290590559410075,14.568078437147081,16.28638792003468
NOF_H26_1D,2354,185091,292331,12.555181741714478,0.09310226846382416,0.09529984988405257,0.8929323618762942,15.977418456173066,0.025418311343525818,0.025764947427950213,0.9822096421262632,17.8915204709554,18.154351862539457
NOF_H26_2D,2356,134444,242116,11.762026309967041,0.17037535242323268,0.1685801177892681,0.8278753294363292,15.25336186200249,0.011051729461657906,0.01026916331568782,0.9894431768172935,19.33300958493201,18.82611516092935
NOF_H26_3D,2356,214284,392246,13.241390466690063,0.183446366049986,0.18306407664412222,0.8833178247159335,15.298777054035943,0.0601039215555067,0.05761159231355234,0.9773164520208705,20.78435365825899,21.306331557002004
