session,n,n_edges_r,n_edges_s,layout_time,r_mantel_p,r_mantel_s,r_procr,r_knn_err,s_mantel_p,s_mantel_s,s_procr,s_knn_err,baseline_err
NOF_H01_1D,2358,147738,267428,15.86204218864441,0.3095334884642118,0.3113846605151194,0.6646598055429966,12.37557964463835,0.0013050509579434978,0.0006316790379548689,0.9984334395769797,17.350739271090376,17.52724309833261
NOF_H02_1D,2358,166151,224598,12.687913656234741,0.4531285614698146,0.45777072076269937,0.4914015140904003,10.920927863595516,0.010754822920357716,0.010273283212093825,0.9945415917462758,18.113255696972875,17.882905874975002
NOF_H03_1D,2350,231512,511703,13.495537519454956,0.24501893392993326,0.24102571569160375,0.7306954621170638,12.414153864312809,0.005736524565303594,0.004721582138940185,0.9914259093160456,16.40642379772036,16.097531107882457
NOF_H06_1D,3548,461186,749221,22.322126865386963,0.09978647439310151,0.12494166185551456,0.9348086997359047,9.392912504198543,0.1584523064629919,0.17379173609067705,0.9789234262931509,9.684627510690998,11.993061093098435
NOF_H07_1D,3553,395154,844720,21.731149435043335,0.3356633960861646,0.33261070169410206,0.6049243605688812,12.149211623123401,-0.0051731145236494636,-0.006022023551402039,0.9988433216622212,18.145611914604057,17.683623451344292
NOF_H08_1D,3552,494104,872023,22.3916072845459,0.2088597380135997,0.20579726178387958,0.7621271636918021,13.855496274635714,0.008549753286600612,0.006802176706099386,0.993531345747655,17.782698312978837,17.28547217135683
NOF_H09_1D,3555,330301,548843,19.286040544509888,0.3169858165708643,0.30918502590791463,0.7882182590259821,11.68002814866501,0.014221681435863403,0.013389580635905826,0.996929800505509,15.884486036583567,15.48930369765363
NOF_H14_1D,3552,358784,646992,19.659676551818848,0.18041467635236969,0.17862068588029645,0.8116639591252802,13.183086192791588,0.01600218529276635,0.015583274449408976,0.9951844632086213,16.637826699431464,16.464640127118347
NOF_H23_1D,2358,153801,168516,10.39515495300293,0.41351928595216186,0.40573626416995207,0.5772407656641494,11.192571399544562,0.012997002164001946,0.012360789097249109,0.9917524299188655,17.33871502687092,17.071761661220453
NOF_H26_1D,2354,185091,292331,11.260895490646362,0.10768824590213666,0.11315546584386067,0.8835122940253353,15.473544370698134,0.017030632925305263,0.017441852822805467,0.9871742413765934,18.33981768658159,18.154351862539457
NOF_H27_1D,3550,419346,684173,20.042739391326904,0.20398744633934665,0.19422480345062196,0.8078025897200143,12.687802394611653,0.007769697366367407,0.007011948693578457,0.9971363226547277,16.678410736231108,15.695083796946886
NOF_H31_1D,2358,161508,220352,10.443176031112671,0.3644514286996117,0.36007542775366164,0.7524565237949675,9.34636680596125,0.027640660559237223,0.02289801512008607,0.9911464041565067,15.91917746345468,17.440940172111628
NOF_H32_1D,2352,145029,171627,11.918378591537476,0.5038704304987304,0.5048556379406365,0.47940792778501734,10.28646184239518,0.10656553599292025,0.10836277709831298,0.9399420541935744,15.979805627248654,17.983903194213045
NOF_H33_1D,3548,410983,519322,26.985012769699097,0.37974992437672145,0.3697900529790832,0.61749121137667,10.705407013423047,0.036025993035455714,0.0352254542629221,0.9861226195180152,17.7343940986613,17.759270456478877
NOF_H36_1D,3550,414544,561274,31.889739990234375,0.2615607241223421,0.25976597181894934,0.6981685647006439,12.400694442026314,-0.0003893373575037497,-0.0009186439582152718,0.9982598232707174,16.58471921090294,16.378678392859143
NOF_H39_1D,3554,380008,383221,24.76310896873474,0.5063869099950317,0.4942425051571949,0.4177431861429336,7.038728835691722,0.0717327994604615,0.07589853826977135,0.9758411555193391,14.136527776900472,15.830041759456554
