layer,N,r_pearson,r_spearman,I_mean,I_std,I_max,I_CV,rho_mean,rho_std,rho_CV,I_latent_logreg,I_latent_mlp,decoder_gap_mlp_minus_lr
sn1,64,-0.0030344271641712106,-0.047985897277609026,1.130065527758311,0.6887165598047652,2.6151520525299214,0.6094483398418133,0.5151361976094971,0.10827108099509417,0.21017952436176865,0.0,0.0,0.0
layer1.0.sn1,64,-0.06185025774433868,-0.09413919413919412,0.9133231674036686,0.2783039675612103,1.4414433493107728,0.3047157649053767,0.515261365864932,0.12984224437380235,0.2519929747805671,0.0,0.1832702888606832,0.1832702888606832
layer1.1.sn1,64,-0.1313098933247922,-0.14935897435897433,0.6827525696833461,0.1665526381372155,1.1893456131506133,0.2439428945898526,0.4546778352042096,0.11017582713472722,0.24231624813037986,0.6162443492025744,0.6716599431236077,0.055415593921033235
layer2.0.sn1,64,-0.24685899600813582,-0.32188644688644685,0.3100609634451029,0.0940853813901096,0.5636388844721023,0.303441556604618,0.4449603465647221,0.10104839178114894,0.22709527390762865,1.4282622404210201,1.388545668267625,-0.03971657215339519
layer2.1.sn1,64,-0.35341307783954085,-0.39665750915750914,0.4235412877897473,0.10626440193418545,0.8133576121501058,0.2508950248716645,0.4095603606958792,0.10084419792956983,0.2462254837314496,1.9425508747134046,1.9129987279045366,-0.029552146808867974
layer3.0.sn1,64,-0.4095306528328377,-0.3625457875457875,0.2820974863738722,0.08355533038819714,0.48796279977733537,0.2961931049518774,0.3638391592983683,0.08443981206415513,0.2320800548984058,2.120425915042489,2.1629687255096997,0.04254281046721076
layer3.1.sn1,64,0.0015894055717993322,0.11007326007326006,0.6316736893801066,0.13576430007224471,0.9001078485369428,0.2149279008367075,0.37698056006633796,0.10597621328966962,0.2811185098537198,2.2502466932361926,2.2481409360801194,-0.002105757156073196
layer4.0.sn1,64,-0.6646251657267619,-0.4430402930402929,0.5315278077479655,0.20937725972120894,0.973488978220082,0.3939159093262141,0.3571160175200925,0.11311950544447959,0.31675841993873916,1.9543302316229472,1.942373086192788,-0.011957145430159244
layer4.1.sn1,64,-0.7496617521907998,-0.5629578754578755,0.5186661973310822,0.1717601087896014,0.7767223069795067,0.3311573217484252,0.393391078154262,0.13062211313342487,0.3320413715183533,1.6758316447963324,1.654315894687059,-0.021515750109273313
