layer,N,r_pearson,p_pearson,r_spearman,I_mean,I_std,I_max,frac_neurons_I_gt_0p1
sn1,64,-0.0030344271641712106,0.9810145224835672,-0.047985897277609026,1.130065527758311,0.6887165598047652,2.6151520525299214,0.875
layer1.0.sn1,64,-0.06185025774433868,0.6273109435975385,-0.09413919413919412,0.9133231674036686,0.2783039675612103,1.4414433493107728,1.0
layer1.1.sn1,64,-0.1313098933247922,0.3010138974009015,-0.14935897435897433,0.6827525696833461,0.1665526381372155,1.1893456131506133,1.0
layer2.0.sn1,64,-0.24685899600813582,0.04924098051814442,-0.32188644688644685,0.3100609634451029,0.0940853813901096,0.5636388844721023,1.0
layer2.1.sn1,64,-0.35341307783954085,0.004174699548807613,-0.39665750915750914,0.4235412877897473,0.10626440193418545,0.8133576121501058,1.0
layer3.0.sn1,64,-0.4095306528328377,0.0007784202223190494,-0.3625457875457875,0.2820974863738722,0.08355533038819714,0.48796279977733537,0.96875
layer3.1.sn1,64,0.0015894055717993322,0.9900549137313821,0.11007326007326006,0.6316736893801066,0.13576430007224471,0.9001078485369428,1.0
layer4.0.sn1,64,-0.6646251657267619,2.115776397608673e-09,-0.4430402930402929,0.5315278077479655,0.20937725972120894,0.973488978220082,0.953125
layer4.1.sn1,64,-0.7496617521907998,1.0230728205752288e-12,-0.5629578754578755,0.5186661973310822,0.1717601087896014,0.7767223069795067,0.9375
