layer,epoch,I_ind,I_gauss_T_Y,I_population_Z_Y
sn1,e=700,72.3241937765319,18.80930374789187,0.0
layer1.0.sn1,e=700,58.45268271383479,7.325036686315083,0.0
layer1.1.sn1,e=700,43.69616445973415,6.6579143311026705,0.6162443492025744
layer2.0.sn1,e=700,39.29985599674498,14.380874817026776,1.4282622404210201
layer2.1.sn1,e=700,53.2574215956793,23.65783905266888,1.9425508747134046
layer3.0.sn1,e=700,74.02861709341418,82.29007566314478,2.120425915042489
layer3.1.sn1,e=700,165.2142147416828,122.10009406728537,2.2502466932361926
layer4.0.sn1,e=700,263.6459107834833,467.9008383520765,1.9543302316229472
layer4.1.sn1,e=700,248.34478163052538,448.8234644950659,1.6758316447963324
sn1,e=900,72.50240248333216,20.384724806742796,0.0
layer1.0.sn1,e=900,57.52145080325991,7.215246170754772,0.08380445108907963
layer1.1.sn1,e=900,42.892462151976474,6.6926896529579265,0.6276951844000607
layer2.0.sn1,e=900,39.576824404362405,14.325963654247756,1.4229291747252688
layer2.1.sn1,e=900,52.52694091372377,23.075167646035908,1.9315968766393468
layer3.0.sn1,e=900,72.30138300707463,79.23237005192034,2.176401597400556
layer3.1.sn1,e=900,157.26912854841962,118.90035907071145,2.268971537979155
layer4.0.sn1,e=900,263.5366040933867,,2.023353556665839
layer4.1.sn1,e=900,251.7334124530754,445.29076553293726,1.774559271766421
