layer,epoch,neuron,mi_neuron,rel_perpl,max_activation,max_prob
sn1,0,0,0.16137659979997798,0.9882315468128232,0.9426562388737997,0.12398623178402583
sn1,0,1,0.07004757328607106,0.9992667610403464,0.9155468543370565,0.10560698310534154
sn1,0,2,0.1185900815041201,0.9998031287860286,0.9668229023615519,0.10266552865505213
sn1,0,3,0.0825433780210469,0.9920452917726733,0.8962239225705465,0.12080300350983934
sn1,0,4,0.2727709427815914,0.9827583637917652,0.91015625,0.13336858153343195
sn1,0,5,0.04497122879966407,0.9993043156723265,0.8544530868530273,0.1048886602123578
sn1,0,6,0.05658094189866005,0.9997896425213554,0.9645572702089945,0.10274846603473024
sn1,0,7,0.04419853676242341,0.9949686463845232,0.8261197805404663,0.11540053039789193
sn1,0,8,0.11494418055834957,0.977675554305347,0.8272656202316284,0.13931371768315629
sn1,0,9,0.12878468410738386,0.9769682935687974,0.5316405892372131,0.14031630257765446
sn1,0,10,0.055577052933407894,0.9881262387855415,0.33674477537473035,0.12574225167433417
sn1,0,11,0.16260762993514646,0.9731699577508154,0.4557291567325592,0.1429316103458404
sn1,0,12,0.07857287665234443,0.9803727893087301,0.29294270277023315,0.13490485648314157
sn1,0,13,0.01898660135037533,0.9882446636193395,0.868359367052714,0.1254628747701644
sn1,0,14,0.10755976010309641,0.9748296562448441,0.5526562333106995,0.14280083278814945
sn1,0,15,0.17498783787446262,0.9730393638794131,0.8835155963897705,0.14472850163777665
sn1,0,16,0.22048771899976563,0.9752765624878524,0.7623958190282186,0.14113390942414594
sn1,0,17,0.12070994896724384,0.9853307048796406,0.48299477497736604,0.13074878354867295
sn1,0,18,0.20298668941375772,0.9878924816365658,0.99609375,0.12633980313936863
sn1,0,19,0.02418934365174275,0.9998888559554319,0.3749479154745738,0.10376742233832674
sn1,0,20,0.17632842506988608,0.9819135506907212,0.9845051964124044,0.13292198876539862
sn1,0,21,0.0755885721014788,0.9929570558148142,0.9108333190282186,0.1192816868424415
sn1,0,22,0.2725241060031956,0.9819241861416838,0.9313280979792277,0.13350476324558258
sn1,0,23,0.04051803451482415,0.9901776814700267,0.5428905884424845,0.12291118750969565
