epoch,layer,neuron,method,max_activation,complexity,rel_perpl,argmax_class,class_name,max_prob
0,layer1.0.sn1,0,0_TT-exp,0.2146874964237213,987,0.9903447653807824,0,airplane,0.12387503683567047
0,layer1.0.sn1,0,1_TT-exp,0.18468749523162842,998,0.9877406926298029,0,airplane,0.1259947419166565
0,layer1.0.sn1,0,2_TT-exp,0.2134374976158142,990,0.9987488431417292,0,airplane,0.1068079024553299
0,layer1.0.sn1,1,0_TT-exp,0.4012500047683716,1160,0.9842569519707154,0,airplane,0.12907817959785461
0,layer1.0.sn1,1,1_TT-exp,0.39249998331069946,1129,0.9837875144535694,0,airplane,0.12904074788093567
0,layer1.0.sn1,1,2_TT-exp,0.390625,1173,0.9850383486221733,0,airplane,0.1286478191614151
0,layer1.0.sn1,2,0_TT-exp,0.2175000011920929,1038,0.9844753041843904,0,airplane,0.13024836778640747
0,layer1.0.sn1,2,1_TT-exp,0.24437499046325684,1034,0.9780390166292654,0,airplane,0.13703855872154236
0,layer1.0.sn1,2,2_TT-exp,0.22749999165534973,1062,0.9762539430130915,0,airplane,0.13857439160346985
0,layer1.0.sn1,3,0_TT-exp,0.6040624976158142,1147,0.9721674789013752,0,airplane,0.14234806597232819
0,layer1.0.sn1,3,1_TT-exp,0.5884374976158142,1057,0.9712405196011773,0,airplane,0.14438281953334808
0,layer1.0.sn1,3,2_TT-exp,0.6049999594688416,1121,0.9734579601128776,0,airplane,0.141970694065094
0,layer1.0.sn1,4,0_TT-exp,0.6018750071525574,1074,0.9776781582961346,0,airplane,0.13802401721477509
0,layer1.0.sn1,4,1_TT-exp,0.6112499833106995,1008,0.9788818519224958,0,airplane,0.13631215691566467
0,layer1.0.sn1,4,2_TT-exp,0.5965625047683716,1070,0.9781809059158916,0,airplane,0.1372254341840744
0,layer1.0.sn1,5,0_TT-exp,0.8359375,768,0.9761308224862448,0,airplane,0.13902726769447327
0,layer1.0.sn1,5,1_TT-exp,0.8303124904632568,760,0.9759638532853568,0,airplane,0.14057935774326324
0,layer1.0.sn1,5,2_TT-exp,0.8390624523162842,736,0.9773222216064679,0,airplane,0.13813182711601257
0,layer1.0.sn1,6,0_TT-exp,0.3321875035762787,975,0.9868312879836988,0,airplane,0.12650474905967712
0,layer1.0.sn1,6,1_TT-exp,0.3284375071525574,1086,0.9827245019564873,0,airplane,0.13202370703220367
0,layer1.0.sn1,6,2_TT-exp,0.32218748331069946,1018,0.9818353656834204,0,airplane,0.1317295879125595
0,layer1.0.sn1,7,0_TT-exp,0.31718748807907104,958,0.9819097504031469,0,airplane,0.13197830319404602
0,layer1.0.sn1,7,1_TT-exp,0.31062498688697815,896,0.9808702788830651,0,airplane,0.13508623838424683
0,layer1.0.sn1,7,2_TT-exp,0.29093748331069946,958,0.9819318575464547,0,airplane,0.13296331465244293
0,layer1.0.sn1,8,0_TT-exp,0.3634375035762787,1040,0.9759788850634843,0,airplane,0.13925938308238983
0,layer1.0.sn1,8,1_TT-exp,0.33406248688697815,1030,0.9747077891145779,0,airplane,0.14183108508586884
0,layer1.0.sn1,8,2_TT-exp,0.3721874952316284,1099,0.9721109475748706,0,airplane,0.1426447331905365
0,layer1.0.sn1,9,0_TT-exp,0.6231249570846558,995,0.9749111066182672,0,airplane,0.14084672927856445
0,layer1.0.sn1,9,1_TT-exp,0.635937511920929,993,0.9729253168347597,0,airplane,0.14346475899219513
